연도코드,시도명,시군구코드,사고위험지역명,사고위험지역id,총사고건수,총사망자수,총중상자수,총경상자수,사고분석유형명,반경내카메라수,반경내과속카메라,반경내신호카메라,카메라효과비율,cluster,군집라벨
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36170,43,0,11,39,안전거리미확보 / 기타,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36171,29,0,7,39,안전거리미확보 / 기타 / 신호위반,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36172,56,1,16,47,안전거리미확보 / 기타 / U턴중 / 신호위반,0,0,0,50.0,2,사고다발 (사고多+중상多)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36173,23,0,6,22,안전거리미확보 / 신호위반 / 기타,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11305,서울특별시 강북구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36174,28,0,12,33,신호위반 / 안전거리미확보 / 기타,0,0,0,66.66666666666666,2,사고다발 (사고多+중상多)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36176,9,0,3,7,기타,0,0,0,0.0,0,부족 (카메라少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36177,11,0,3,8,신호위반 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36178,16,0,4,17,기타 / 안전거리미확보,1,0,1,50.0,3,과잉 (카메라多 사고少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36179,9,0,6,13,신호위반 / 기타 / 안전거리미확보,1,1,0,66.66666666666666,3,과잉 (카메라多 사고少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36180,8,0,0,12,기타 / 안전거리미확보,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36181,12,0,2,8,기타 / U턴중,1,1,0,0.0,3,과잉 (카메라多 사고少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36182,8,0,1,10,U턴중 / 기타 / 안전거리미확보,0,0,0,33.33333333333333,0,부족 (카메라少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36183,12,0,7,8,안전거리미확보 / 기타,0,0,0,50.0,0,부족 (카메라少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36184,22,0,8,26,신호위반 / 기타 / 안전거리미확보,0,0,0,66.66666666666666,0,부족 (카메라少)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36185,26,0,9,25,안전거리미확보 / 기타 / 중앙선침범,0,0,0,66.66666666666666,2,사고다발 (사고多+중상多)
2017,서울,11320,서울특별시 도봉구내에서 2017년도에 반경50m 이내 다른사고8건 이상 지역,36186,9,0,3,9,U턴중 / 기타,0,0,0,0.0,0,부족 (카메라少)
